tweet,sentiment,followers,following,id,topic
Interesting article. #Read #Info #Apple 280,angry,21,1396,192,Apple
Is my data safe? #Privacy #Hack #Samsung 839,fear,992,174,193,Samsung
I hate this bug! #Broken #FixIt #Apple 443,angry,1227,510,194,Apple
This feature is a game changer. #Innovation #Future #Politics 477,happy,1341,1974,195,Politics
Best purchase ever. #Recommended #LoveIt #Crypto 241,happy,468,509,196,Crypto
I love this update! #Amazing #Tech #Crypto 671,angry,41,3114,197,Crypto
I hate this bug! #Broken #FixIt #Climate 558,angry,1299,850,198,Climate
This is terrible service. #Fail #Angry #Climate 42,angry,49,3811,199,Climate
Is my data safe? #Privacy #Hack #Politics 803,fear,238,457,200,Politics
This is terrible service. #Fail #Angry #Apple 554,angry,23,2475,201,Apple
Scary news coming out. #Fear #Alert #Samsung 189,fear,1072,399,202,Samsung
Finally some good news! #Winning #Happy #Tesla 771,angry,46,4656,203,Tesla
Interesting article. #Read #Info #Apple 461,neutral,1093,1377,204,Apple
Is my data safe? #Privacy #Hack #Tesla 516,fear,497,252,205,Tesla
This is terrible service. #Fail #Angry #Apple 890,angry,41,2419,206,Apple
Just checking in. #Update #News #Tesla 960,neutral,259,1633,207,Tesla
I love this update! #Amazing #Tech #Politics 494,happy,109,831,208,Politics
Unacceptable behavior. #Boycott #Mad #Climate 913,angry,10,4667,209,Climate
Worst experience ever. #Scam #Refund #Politics 617,angry,20,1819,210,Politics
What do you think? #Question #Poll #Climate 651,neutral,1665,1115,211,Climate
Market is crashing! #Panic #Crash #Tesla 386,fear,1567,462,212,Tesla
This feature is a game changer. #Innovation #Future #Samsung 135,happy,1182,976,213,Samsung
What do you think? #Question #Poll #Apple 393,neutral,1762,768,214,Apple
Interesting article. #Read #Info #Politics 247,neutral,1058,1580,215,Politics
This is terrible service. #Fail #Angry #Tesla 240,angry,294,152,216,Tesla
Finally some good news! #Winning #Happy #Politics 705,angry,12,2209,217,Politics
Is my data safe? #Privacy #Hack #Samsung 379,fear,1624,1242,218,Samsung
Just checking in. #Update #News #Crypto 98,neutral,327,1127,219,Crypto
Finally some good news! #Winning #Happy #Tesla 948,happy,909,771,220,Tesla
I am worried about the future. #Uncertainty #Risk #Apple 950,fear,10,1626,221,Apple
Market is crashing! #Panic #Crash #Tesla 876,fear,22,1849,222,Tesla
Unacceptable behavior. #Boycott #Mad #Crypto 721,angry,1554,1841,223,Crypto
This is terrible service. #Fail #Angry #Samsung 575,angry,1878,1619,224,Samsung
Is my data safe? #Privacy #Hack #Politics 688,fear,1127,1653,225,Politics
Unacceptable behavior. #Boycott #Mad #Samsung 708,angry,155,888,226,Samsung
I hate this bug! #Broken #FixIt #Tesla 636,angry,1186,367,227,Tesla
Just checking in. #Update #News #Crypto 212,neutral,1754,354,228,Crypto
I hate this bug! #Broken #FixIt #Samsung 75,angry,558,216,229,Samsung
Finally some good news! #Winning #Happy #Tesla 568,angry,12,4206,230,Tesla
Market is crashing! #Panic #Crash #Crypto 110,fear,520,1240,231,Crypto
Interesting article. #Read #Info #Politics 943,angry,32,4999,232,Politics
I am worried about the future. #Uncertainty #Risk #Samsung 96,fear,702,332,233,Samsung
This feature is a game changer. #Innovation #Future #Apple 110,happy,39,2644,234,Apple
I am worried about the future. #Uncertainty #Risk #Samsung 983,fear,1673,931,235,Samsung
I hate this bug! #Broken #FixIt #Politics 323,angry,9,2290,236,Politics
I hate this bug! #Broken #FixIt #Apple 965,angry,16,2868,237,Apple
I hate this bug! #Broken #FixIt #Apple 531,angry,1931,1567,238,Apple
This is terrible service. #Fail #Angry #Samsung 976,angry,11,2845,239,Samsung
Interesting article. #Read #Info #Samsung 211,neutral,223,1540,240,Samsung
This is terrible service. #Fail #Angry #Politics 56,angry,472,658,241,Politics
Market is crashing! #Panic #Crash #Politics 581,fear,209,289,242,Politics
This feature is a game changer. #Innovation #Future #Samsung 917,happy,289,1402,243,Samsung
Best purchase ever. #Recommended #LoveIt #Climate 926,angry,17,3056,244,Climate
What do you think? #Question #Poll #Crypto 792,neutral,1818,1262,245,Crypto
I hate this bug! #Broken #FixIt #Climate 878,angry,10,2194,246,Climate
What do you think? #Question #Poll #Tesla 318,neutral,231,382,247,Tesla
Market is crashing! #Panic #Crash #Climate 232,fear,1298,1239,248,Climate
What do you think? #Question #Poll #Apple 927,neutral,666,556,249,Apple
Is my data safe? #Privacy #Hack #Apple 384,fear,30,1226,250,Apple
Interesting article. #Read #Info #Apple 506,neutral,439,994,251,Apple
I love this update! #Amazing #Tech #Climate 866,happy,1696,997,252,Climate
This feature is a game changer. #Innovation #Future #Crypto 757,happy,2,2191,253,Crypto
This is terrible service. #Fail #Angry #Politics 966,angry,38,2200,254,Politics
Unacceptable behavior. #Boycott #Mad #Apple 458,angry,25,3865,255,Apple
Is my data safe? #Privacy #Hack #Crypto 860,fear,722,1303,256,Crypto
Is my data safe? #Privacy #Hack #Politics 450,fear,655,1303,257,Politics
Worst experience ever. #Scam #Refund #Samsung 593,angry,1159,1677,258,Samsung
Scary news coming out. #Fear #Alert #Politics 17,fear,1867,373,259,Politics
Worst experience ever. #Scam #Refund #Apple 639,angry,805,1931,260,Apple
Worst experience ever. #Scam #Refund #Apple 927,angry,1997,463,261,Apple
Worst experience ever. #Scam #Refund #Tesla 135,angry,28,2486,262,Tesla
I am worried about the future. #Uncertainty #Risk #Apple 750,fear,1423,680,263,Apple
Worst experience ever. #Scam #Refund #Samsung 40,angry,1728,915,264,Samsung
Best purchase ever. #Recommended #LoveIt #Politics 324,happy,1443,809,265,Politics
This feature is a game changer. #Innovation #Future #Apple 164,angry,8,4070,266,Apple
What do you think? #Question #Poll #Apple 25,neutral,747,865,267,Apple
Scary news coming out. #Fear #Alert #Politics 123,fear,779,1649,268,Politics
Unacceptable behavior. #Boycott #Mad #Tesla 323,angry,48,4067,269,Tesla
This is terrible service. #Fail #Angry #Politics 751,angry,24,4838,270,Politics
This feature is a game changer. #Innovation #Future #Samsung 312,happy,1776,1087,271,Samsung
I hate this bug! #Broken #FixIt #Tesla 907,angry,365,1329,272,Tesla
Finally some good news! #Winning #Happy #Climate 648,angry,4,4862,273,Climate
This feature is a game changer. #Innovation #Future #Climate 503,happy,357,1646,274,Climate
This is terrible service. #Fail #Angry #Politics 572,angry,639,1243,275,Politics
Is my data safe? #Privacy #Hack #Climate 109,angry,6,2179,276,Climate
I hate this bug! #Broken #FixIt #Samsung 982,angry,1561,1095,277,Samsung
Finally some good news! #Winning #Happy #Politics 401,happy,863,1552,278,Politics
Just checking in. #Update #News #Tesla 155,neutral,657,879,279,Tesla
Market is crashing! #Panic #Crash #Tesla 419,fear,1840,1946,280,Tesla
What do you think? #Question #Poll #Tesla 10,neutral,216,1934,281,Tesla
Link in bio. #Link #Profile #Apple 508,angry,27,1081,282,Apple
Interesting article. #Read #Info #Samsung 645,neutral,383,425,283,Samsung
Finally some good news! #Winning #Happy #Apple 388,happy,634,1763,284,Apple
I love this update! #Amazing #Tech #Politics 999,angry,29,2685,285,Politics
Just checking in. #Update #News #Politics 696,neutral,1081,1187,286,Politics
Market is crashing! #Panic #Crash #Apple 740,fear,1047,1020,287,Apple
This feature is a game changer. #Innovation #Future #Tesla 55,happy,44,2296,288,Tesla
What do you think? #Question #Poll #Climate 157,neutral,975,1556,289,Climate
Market is crashing! #Panic #Crash #Climate 505,fear,1080,449,290,Climate
Is my data safe? #Privacy #Hack #Tesla 721,angry,15,1421,291,Tesla
Worst experience ever. #Scam #Refund #Climate 828,angry,155,425,292,Climate
I love this update! #Amazing #Tech #Climate 178,happy,45,4713,293,Climate
Just checking in. #Update #News #Politics 738,angry,26,1927,294,Politics
Worst experience ever. #Scam #Refund #Tesla 495,angry,20,1015,295,Tesla
Just checking in. #Update #News #Climate 793,angry,31,1549,296,Climate
Worst experience ever. #Scam #Refund #Tesla 947,angry,366,1436,297,Tesla
I love this update! #Amazing #Tech #Climate 922,happy,842,861,298,Climate
Finally some good news! #Winning #Happy #Samsung 444,happy,1113,1599,299,Samsung
I hate this bug! #Broken #FixIt #Climate 250,angry,1601,247,300,Climate
Is my data safe? #Privacy #Hack #Climate 588,fear,702,1235,301,Climate
What do you think? #Question #Poll #Climate 406,neutral,1887,755,302,Climate
Interesting article. #Read #Info #Samsung 555,neutral,50,3963,303,Samsung
This feature is a game changer. #Innovation #Future #Apple 864,happy,1429,847,304,Apple
I am worried about the future. #Uncertainty #Risk #Samsung 686,angry,15,1960,305,Samsung
Finally some good news! #Winning #Happy #Apple 395,happy,832,550,306,Apple
Scary news coming out. #Fear #Alert #Samsung 277,fear,521,1131,307,Samsung
Is my data safe? #Privacy #Hack #Crypto 67,fear,1357,446,308,Crypto
Just checking in. #Update #News #Apple 581,neutral,972,1034,309,Apple
Just checking in. #Update #News #Crypto 298,neutral,1964,1035,310,Crypto
Is my data safe? #Privacy #Hack #Apple 63,angry,31,4951,311,Apple
I hate this bug! #Broken #FixIt #Apple 220,angry,273,582,312,Apple
Finally some good news! #Winning #Happy #Tesla 665,angry,18,1765,313,Tesla
Link in bio. #Link #Profile #Politics 773,neutral,1667,418,314,Politics
Market is crashing! #Panic #Crash #Politics 648,angry,8,4514,315,Politics
Link in bio. #Link #Profile #Climate 168,neutral,1971,1231,316,Climate
Worst experience ever. #Scam #Refund #Politics 974,angry,761,1571,317,Politics
Finally some good news! #Winning #Happy #Apple 957,happy,276,164,318,Apple
Worst experience ever. #Scam #Refund #Crypto 716,angry,1988,1330,319,Crypto
Worst experience ever. #Scam #Refund #Apple 699,angry,388,1298,320,Apple
I love this update! #Amazing #Tech #Tesla 441,happy,9,3281,321,Tesla
This feature is a game changer. #Innovation #Future #Crypto 666,happy,901,568,322,Crypto
I hate this bug! #Broken #FixIt #Crypto 346,angry,195,795,323,Crypto
What do you think? #Question #Poll #Tesla 794,neutral,479,1665,324,Tesla
Unacceptable behavior. #Boycott #Mad #Samsung 688,angry,1039,1183,325,Samsung
This is terrible service. #Fail #Angry #Samsung 959,angry,886,1526,326,Samsung
I love this update! #Amazing #Tech #Tesla 849,happy,1524,510,327,Tesla
This feature is a game changer. #Innovation #Future #Crypto 784,happy,1513,1044,328,Crypto
Best purchase ever. #Recommended #LoveIt #Crypto 492,angry,16,4175,329,Crypto
Best purchase ever. #Recommended #LoveIt #Crypto 487,happy,844,304,330,Crypto
Scary news coming out. #Fear #Alert #Crypto 758,fear,919,1529,331,Crypto
I love this update! #Amazing #Tech #Politics 83,happy,45,2297,332,Politics
I love this update! #Amazing #Tech #Climate 966,happy,1336,360,333,Climate
What do you think? #Question #Poll #Crypto 65,neutral,1202,422,334,Crypto
Is my data safe? #Privacy #Hack #Crypto 409,fear,279,324,335,Crypto
Scary news coming out. #Fear #Alert #Politics 638,fear,415,1545,336,Politics
Is my data safe? #Privacy #Hack #Samsung 377,angry,43,3434,337,Samsung
What do you think? #Question #Poll #Crypto 574,neutral,188,1696,338,Crypto
Unacceptable behavior. #Boycott #Mad #Crypto 404,angry,1548,1063,339,Crypto
Just checking in. #Update #News #Tesla 327,neutral,1429,155,340,Tesla
What do you think? #Question #Poll #Apple 520,neutral,1214,1575,341,Apple
This is terrible service. #Fail #Angry #Apple 710,angry,698,892,342,Apple
I love this update! #Amazing #Tech #Climate 451,happy,1301,1554,343,Climate
I am worried about the future. #Uncertainty #Risk #Politics 527,fear,117,1255,344,Politics
I am worried about the future. #Uncertainty #Risk #Politics 600,fear,1701,799,345,Politics
What do you think? #Question #Poll #Tesla 467,neutral,1817,1282,346,Tesla
I love this update! #Amazing #Tech #Crypto 465,happy,298,1844,347,Crypto
This feature is a game changer. #Innovation #Future #Climate 105,happy,962,1026,348,Climate
I am worried about the future. #Uncertainty #Risk #Politics 288,fear,576,1705,349,Politics
This is terrible service. #Fail #Angry #Climate 900,angry,792,507,350,Climate
Worst experience ever. #Scam #Refund #Samsung 410,angry,374,1849,351,Samsung
This is terrible service. #Fail #Angry #Politics 717,angry,1097,384,352,Politics
Just checking in. #Update #News #Apple 43,neutral,1329,1037,353,Apple
Interesting article. #Read #Info #Samsung 988,neutral,422,1853,354,Samsung
Unacceptable behavior. #Boycott #Mad #Apple 841,angry,38,1017,355,Apple
Just checking in. #Update #News #Politics 464,neutral,20,1532,356,Politics
I am worried about the future. #Uncertainty #Risk #Politics 681,fear,1530,961,357,Politics
Market is crashing! #Panic #Crash #Samsung 843,fear,1691,505,358,Samsung
I hate this bug! #Broken #FixIt #Crypto 981,angry,934,1903,359,Crypto
Unacceptable behavior. #Boycott #Mad #Tesla 428,angry,476,1566,360,Tesla
Unacceptable behavior. #Boycott #Mad #Politics 527,angry,20,3845,361,Politics
Best purchase ever. #Recommended #LoveIt #Tesla 390,happy,625,1942,362,Tesla
Unacceptable behavior. #Boycott #Mad #Samsung 374,angry,709,771,363,Samsung
Link in bio. #Link #Profile #Samsung 60,neutral,1454,1518,364,Samsung
Market is crashing! #Panic #Crash #Politics 462,fear,1009,669,365,Politics
Worst experience ever. #Scam #Refund #Tesla 224,angry,1105,890,366,Tesla
This feature is a game changer. #Innovation #Future #Crypto 259,happy,521,1338,367,Crypto
This feature is a game changer. #Innovation #Future #Crypto 730,happy,939,330,368,Crypto
Best purchase ever. #Recommended #LoveIt #Apple 463,happy,1980,635,369,Apple
Market is crashing! #Panic #Crash #Crypto 490,fear,1444,1476,370,Crypto
This feature is a game changer. #Innovation #Future #Samsung 465,happy,1417,778,371,Samsung
